id,created_at,text
935248377914249218,2017-11-27 20:46:04,"b""@parchment Hey there. Reporting when something's not working on Facebook helps us to identify and fix problems. So\xe2\x80\xa6 https://t.co/77JEaakYIp"""
935248376647602179,2017-11-27 20:46:03,b'@realSiRiSn0w Hey there. Thanks for letting us know. You can report this login issue to us here: https://t.co/2vgZPer5xa. -EB'
935248376257568773,2017-11-27 20:46:03,"b""@TweetyPAK Hey Suzanne. The best way to let us know you're having trouble logging in is to report it to us. You can\xe2\x80\xa6 https://t.co/dqVUf32TOM"""
935248130748092416,2017-11-27 20:45:05,"b'@dennisataylor Hey Dennis. If you are experiencing issues activating an advertising coupon, there are a few things\xe2\x80\xa6 https://t.co/RK0FPb58ay'"
935241330388819968,2017-11-27 20:18:03,"b""@GettyMuseum This looks like a great exhibition! We're glad you used Facebook Live to share the Giovanni Bellini to\xe2\x80\xa6 https://t.co/rASMSmrhrk"""
933415806502883329,2017-11-22 19:24:04,b'@katelynnmorgan Hey Katelynn. Please be sure you are using the latest version of the Facebook app on your phone. If\xe2\x80\xa6 https://t.co/6nbTWSf5pc'
933415803575263232,2017-11-22 19:24:04,"b""@prbore Hey there. While you can't delete all posts at the same time, you can delete them one by one. Learn how:\xe2\x80\xa6 https://t.co/BXclgd5tT8"""
933415803420110850,2017-11-22 19:24:04,"b""@bob_wite Hey Bob. We disable Facebook accounts that don't follow the Facebook Terms. If you think your account was\xe2\x80\xa6 https://t.co/mbjTITlbaL"""
933407497532174337,2017-11-22 18:51:03,"b""@CmndrJustine Hey there. Thanks for letting us know! Please report what you're experiencing with your notifications\xe2\x80\xa6 https://t.co/xFotWGOjvS"""
933407497469210624,2017-11-22 18:51:03,b'@calvinccc Hey Calvin. You may be able to recover the account by following these steps: https://t.co/UlDIx73IcH. We hope this helps! -EB'
933407245869690881,2017-11-22 18:50:03,"b'@dohertyshaunx1 Hey Shaun. If you believe you were banned unfairly or by mistake, you can let us know here: https://t.co/5M0AGQVPfl. -EB'"
933406994861568001,2017-11-22 18:49:04,"b""@hellositubondo Hi Carl. We disable Facebook accounts that don't follow our Facebook Terms, which can be found here\xe2\x80\xa6 https://t.co/fcTRSRKf33"""
933406994060533762,2017-11-22 18:49:03,"b""@metalsmut Thanks so much for sharing, Danielle! We're glad we could help keep you connected. -EB"""
933406992881905664,2017-11-22 18:49:03,"b""@morokkan Hey there. Thanks for letting us know you're experiencing this. Please report it to us here: https://t.co/MQTOFhrjip. -EB"""
933405992074858497,2017-11-22 18:45:05,"b""@stuartfields Thanks for letting us know, Stuart. Please report what you're seeing in your Groups by following thes\xe2\x80\xa6 https://t.co/NLkhe0UyT1"""
933076317565849602,2017-11-21 20:55:04,"b""@1915_hamdiabdo Hey there. We disable Facebook accounts that don't follow our Facebook Terms. If you think your acc\xe2\x80\xa6 https://t.co/pvJ4wwpGx8"""
933076315682623489,2017-11-21 20:55:04,"b""@JohnHemelrijk Hey John. We're sorry to hear this! Please let us know what you're experiencing when you try to log\xe2\x80\xa6 https://t.co/fwe4CAMeSz"""
933076069028192256,2017-11-21 20:54:05,"b""@BKLYN_MikeMike Hey there. Thanks for bringing this to our attention. Please report what you're experiencing to us\xe2\x80\xa6 https://t.co/s0eVovRWEy"""
933076068721938432,2017-11-21 20:54:05,"b""@sethsmiley Hey Seth. If your friend can't get into their account because it was taken over by someone else, please\xe2\x80\xa6 https://t.co/VyDsSUrBIS"""
933076066951991296,2017-11-21 20:54:04,"b""@UntitledTalent Hey there. We recommend that you clear your cache and cookies in your browser's settings or prefere\xe2\x80\xa6 https://t.co/IlYOzYZvF4"""
933076066612203520,2017-11-21 20:54:04,b'@No_CliShae Hey there. We can take you through a few steps to make sure any recent changes to your account were mad\xe2\x80\xa6 https://t.co/jiZR8BDlD8'
933076065509167105,2017-11-21 20:54:04,"b'@MontyParwala Thanks for reaching out, Monty. If your account was taken over by someone else,\xc2\xa0you may be able to se\xe2\x80\xa6 https://t.co/P7ypFGn9cM'"
933075812097626114,2017-11-21 20:53:03,"b""@olivutilo Hey Oliv. If you're experiencing issues with your Facebook app, please report them to us here: https://t.co/4yZwVk1BNg. -EB"""
933019942810734592,2017-11-21 17:11:03,"b""@wuzgood Hey Wuz Good. Thanks so much for being one of our Facebook Creators! We're glad you were able to share you\xe2\x80\xa6 https://t.co/JYmAYFZqra"""
933019698446372864,2017-11-21 17:10:05,"b""@OnAirCharlie Hey Charlie. Thanks for reaching out!  Please report what you're experiencing to us here: https://t.co/b96EGWfaJz. -EB"""
933019698031202304,2017-11-21 17:10:05,"b""@lrwhitney Hey Lindsey. You're able to dispute charges that you didn't authorize or agree to by reaching out to our\xe2\x80\xa6 https://t.co/OEAoNotjfK"""
933019697666232321,2017-11-21 17:10:05,b'@FilmMarocainHd Hi there. Instructions for adding a phone number to your Facebook account can be found in our Help\xe2\x80\xa6 https://t.co/Ac9fw4GIr8'
933019448117735425,2017-11-21 17:09:05,"b""@LShnortz Hey Leo. Thanks for letting us know. Please report what you're experiencing to us by following these step\xe2\x80\xa6 https://t.co/wIagyn0fq8"""
933019447958343684,2017-11-21 17:09:05,"b""@DanCarmon1 Hi Dan. If you or a friend of yours can't get into their account because it was taken over by someone e\xe2\x80\xa6 https://t.co/v9LQtmmn8h"""
933019191350882304,2017-11-21 17:08:04,"b""@kirstenlagringa Hey there. Reports from people on Facebook help us identify and fix problems when something's not\xe2\x80\xa6 https://t.co/t44DYzuEXn"""
933019189278924800,2017-11-21 17:08:04,"b'@Stalock_iFunny Hey there. You can copy the link for a video by clicking ""Share"" beneath the video and selecting ""C\xe2\x80\xa6 https://t.co/yVTHSIU12E'"
933019189153026048,2017-11-21 17:08:04,"b""@EAWasonga You're very welcome, Emily! We hope you had a great birthday. -EB"""
933018938878853125,2017-11-21 17:07:04,"b""@genghiskean Hey there. Please report what you're seeing with your blank notifications. Learn how: https://t.co/C8T26EO3d8. -EB"""
933018938576900096,2017-11-21 17:07:04,"b""@rebeccascxtland Hi Rebecca. We've invested a lot to understand how News Feed can show the most engaging content to\xe2\x80\xa6 https://t.co/KgPWGSBNI7"""
933018937188642817,2017-11-21 17:07:03,b'@KIMCUONGLE1987 Hey there. Information on verifying your profile can be found here: https://t.co/1AIROuRR3b. -EB'
933018438418731008,2017-11-21 17:05:05,"b""@sserviceddd Hey there. We appreciate you letting us know. Please report what you're experiencing by following thes\xe2\x80\xa6 https://t.co/8hJb06RgdE"""
933016925877227520,2017-11-21 16:59:04,b'@pieter_dirix Hey there. Thanks for the question. You can turn Messenger notifications on or off by adjusting your\xe2\x80\xa6 https://t.co/gYWjetnelo'
933016925495492609,2017-11-21 16:59:04,"b""@EchmeckShop Hey there. We're sorry to hear this! You can report what you're experiencing with your Ads Manager by\xe2\x80\xa6 https://t.co/SNt9rzTtU1"""
933016925298479105,2017-11-21 16:59:04,"b""@TWickrama We're glad to hear that, Thilak! Thanks for sharing. -EB"""
933016923784216576,2017-11-21 16:59:03,b'@leZENdary Hi there. We appreciate your kind words! The safety and security of our community are very important to us. -EB'
933016669844393984,2017-11-21 16:58:03,b'@lorenzomigz26 Hey there. You can report a message as spam by following these instructions: https://t.co/uuf88T2X7S. -EB'
933016668317634562,2017-11-21 16:58:02,"b""@etheridg Hey John. Thanks for letting us know. Please report what you're experiencing by following these steps:\xe2\x80\xa6 https://t.co/b6XxfS5lEx"""
933015414874963968,2017-11-21 16:53:04,"b""@Shipra_Sh Hey Shipra. If you're experiencing issues with Ads Manager, please let us know by reporting it. Learn ho\xe2\x80\xa6 https://t.co/OBgJLnYSp3"""
931597963553640448,2017-11-17 19:00:37,"b'@EMJenkinson Thanks for letting us know, E.M. You can appeal your disapproved ad by submitting this form: https://t.co/sKJE5EL8ET. -EB'"
931597318503194624,2017-11-17 18:58:03,"b'@PRforAnyone Thanks for the follow up, Christina. Please report this to us by following these steps listed in our H\xe2\x80\xa6 https://t.co/jUpv7cs4Xm'"
